BrierScore;MarketId;Total Users;User Removed %;WindowSize;Phi
0.004;1409;80;30.0;40;136.403084099109
0.012;1413;70;30.0;40;152.0888217477478
0.028;1428;51;30.0;40;264.651261000369
0.033;1416;92;30.0;40;103.79040516682353
0.039;1444;79;30.0;40;134.92621415998184
0.041;1429;90;30.0;40;208.7932203366509
0.044;1441;98;30.0;40;106.15193483545188
0.046;1427;105;30.0;40;104.04704885411677
0.049;1424;40;30.0;40;83.63072320847493
0.051;1431;66;30.0;40;88.67459297409452
0.06;1425;42;30.0;40;149.99222788807586
0.062;1434;64;30.0;40;212.14930585670209
0.062;1446;137;30.0;40;166.7334876653988
0.085;1430;119;30.0;40;167.05978806413106
0.091;1439;113;30.0;40;64.33769332438396
0.092;1437;62;30.0;40;219.84142472809305
0.094;1440;90;30.0;40;221.5698121830344
0.119;1442;83;30.0;40;191.7793258905243
0.13;1421;106;30.0;40;143.43188300161515
0.142;1414;102;30.0;40;75.93250419939815
0.167;1410;197;30.0;40;161.61425273845518
0.182;1423;71;30.0;40;290.8133748560746
0.264;1432;31;30.0;40;102.47551376051439
0.267;1435;98;30.0;40;66.23353986354734
0.337;1420;110;30.0;40;261.931315179947
0.339;1433;38;30.0;40;126.15204737101908
0.383;1438;99;30.0;40;94.18906056177917
0.453;1418;76;30.0;40;171.58883431809645
0.483;1443;112;30.0;40;95.44334228694218
0.487;1415;114;30.0;40;219.22773347779136
0.662;1417;172;30.0;40;207.6341348166767
0.808;1445;72;30.0;40;27.296445648190293
1.272;1412;77;30.0;40;96.85178046298883
