BrierScore;MarketId;Total Users;User Removed %;Population Left;Step;Phi
0.039;1444;67;30.0;47;150;11.12836380790278
0.044;1441;67;30.0;47;150;11.005930364979678
0.046;1427;81;30.0;57;150;120.70644086833458
0.051;1431;61;30.0;43;150;8.182143210225556
0.091;1439;66;30.0;47;150;44.49347823824117
0.094;1440;80;30.0;56;150;89.47376073417816
0.383;1438;78;30.0;55;150;82.04114743486836
0.453;1418;75;30.0;53;150;11.423386682831321
0.487;1415;90;30.0;63;150;108.95839373183864
0.662;1417;97;30.0;68;150;171.02654868817928
